"TOA5","GCREW_MET","CR1000","85321","CR1000.Std.31.03","CPU:GCREW_METv5.CR1","24578","GCREW_MET_15min"
"TIMESTAMP","RECORD","Statname","Rain_in_Tot","Rain_cm_Tot","AirTC_Avg","RH","CleanRH","VP","VPD","SVP","Barometric_Pressure_PB110B","Barometric_Pressure_PB110B_Avg","SlrW_Avg","SlrMJ_Tot","PAR_Den_C_Avg","PAR_Tot_C_Tot","Temp10cm_Avg","Temp25cm_Avg","Temp90cm_Avg","Above75cm_plate_Avg","Aquatroll_ID(2)","Depth","Temperature","Actual_Conductivity","Specific_Conductivity","Salinity","TDS","Water_Density","Pressure","Resistivity","WindDir_RM_Avg","WindDir_RM","WS_ms_RM_Max","WS_ms_RM_Min","WS_ms_RM_Avg","WS_ms_RM","WindDir_WS_Avg","WindDir_WS","WS_ms_WS_Max","WS_ms_WS_Min","WS_ms_WS_Avg","WS_ms_WS"
"TS","RN","","inch","cm","°C","%","%","kPa","Pa","Pa","mbar","mbar","W/m²","MJ/m²","micromols/s/m^2","mmol/m^2second","C","C","C","C","","cm","C","uS/cm","uS/cm","PSU","ppt","g/cm3","PSI","ohm-cm","degrees","degrees","m/s","m/s","m/s","m/s","degrees","degrees","m/s","m/s","m/s","m/s"
"","","Smp","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Tot","Avg","Tot","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Max","Min","Avg","Smp","Avg","Smp","Max","Min","Avg","Smp"
"2025-09-14 23:45:00",147506,"NAN",0,0,18.25,100,100,2.094843,0,4.687267,1018.76,1018.864,0,0,0,0,20.21,19.63,18.05,"NAN","213IN-SITU AT200 201000",68.61511,19.29026,15722.86,17647.42,10.52025,11.47082,1.006343,0.981757,63.60987,277.3777,277.3475,0,0,0,0,225.4389,255,0.43,0.02,0.2028333,0.34
"2025-09-15 00:00:00",147507,"NAN",0,0,18.13,100,100,2.068102,0,4.638459,1018.923,1019.021,0,0,0,0,20.22,19.63,18.06,"NAN","213IN-SITU AT200 201000",68.34356,19.29543,15726.08,17649.08,10.52138,11.4719,1.006342,0.981181,63.60062,277.3784,277.3475,0,0,0,0,276.4278,261,0.41,0.04,0.2226667,0.31
"2025-09-15 00:15:00",147508,"NAN",0,0,18.01,100,100,2.059531,0,4.622681,1018.942,1019.06,0,0,0,0,20.24,19.64,18.06,"NAN","213IN-SITU AT200 201000",67.77943,19.30208,15710.78,17629.39,10.50871,11.4591,1.006338,0.973111,63.61407,277.3706,277.4302,0,0,0,0,262.35,273,0.43,0.04,0.2275,0.27
"2025-09-15 00:30:00",147509,"NAN",0,0,17.83,100,100,2.015887,0,4.541307,1019.113,1019.131,0,0,0,0,20.27,19.64,18.06,"NAN","213IN-SITU AT200 201000",67.0597,19.30917,15707.25,17622.75,10.5045,11.45479,1.00633,0.963403,63.653,277.3573,277.4583,0.3332,0,0.08155778,0.2156,265.7278,275,0.55,0.1,0.3773888,0.48
"2025-09-15 00:45:00",147510,"NAN",0,0,17.54,100.1,100,1.998579,0,4.508549,1019.11,1019.23,0,0,0,0,20.29,19.64,18.05,"NAN","213IN-SITU AT200 201000",66.34191,19.31496,15693.84,17605.53,10.49342,11.44359,1.00632,0.953241,63.71028,278.8623,289.7947,0.392,0,0.02341111,0,270.8889,293,0.58,0.13,0.3244444,0.36
"2025-09-15 01:00:00",147511,"NAN",0,0,17.31,100,100,1.964488,0,4.443183,1019.278,1019.249,0,0,0,0,20.3,19.64,18.04,"NAN","213IN-SITU AT200 201000",65.66371,19.31924,15678.79,17587.03,10.4815,11.43157,1.006311,0.942049,63.76622,289.7862,289.7004,0,0,0,0,281.5389,265,0.51,0.11,0.2864444,0.33
"2025-09-15 01:15:00",147512,"NAN",0,0,17.14,100,100,1.943563,0,4.402498,1019.29,1019.296,0,0,0,0,20.33,19.64,18.04,"NAN","213IN-SITU AT200 201000",65.08262,19.32205,15675.65,17582.45,10.47857,11.42859,1.006303,0.934351,63.80989,302.2669,313.3189,0.3528,0,0.05183111,0,265.3055,259,0.59,0.17,0.3978333,0.37
"2025-09-15 01:30:00",147513,"NAN",0,0,16.96,100,100,1.922817,0,4.361724,1019.137,1019.255,0,0,0,0,20.35,19.64,18.04,"NAN","213IN-SITU AT200 201000",64.57924,19.32458,15664.35,17568.83,10.46979,11.41974,1.006299,0.926141,63.83023,286.5269,246.2377,0.5292,0,0.08264666,0.49,263.6333,236,0.69,0.19,0.4295,0.54
"2025-09-15 01:45:00",147514,"NAN",0,0,16.81,100,100,1.902242,0,4.32085,1019.309,1019.249,0,0,0,0,20.38,19.65,18.04,"NAN","213IN-SITU AT200 201000",64.05976,19.32555,15663.42,17567.42,10.46889,11.41882,1.006298,0.918916,63.83695,271.253,312.6532,0.49,0,0.1839133,0.2548,267.5889,283,0.7,0.15,0.4651666,0.67
"2025-09-15 02:00:00",147515,"NAN",0,0,16.64,100,100,1.890217,0,4.296758,1019.332,1019.297,0,0,0,0,20.4,19.65,18.04,"NAN","213IN-SITU AT200 201000",63.62002,19.32756,15651.31,17553.08,10.45964,11.4095,1.00629,0.911615,63.88723,272.7324,317.6026,0.6076,0,0.1753111,0,259.75,12,0.73,0.2,0.4563889,0.27
"2025-09-15 02:15:00",147516,"NAN",0,0,16.5,100,100,1.873968,0,4.263955,1019.501,1019.413,0,0,0,0,20.43,19.66,18.05,"NAN","213IN-SITU AT200 201000",63.17458,19.32765,15634.2,17533.85,10.44721,11.397,1.006285,0.905991,63.92761,294.063,300.8148,0.3724,0,0.09342666,0,272.0722,201,0.7,0.16,0.4678889,0.33
"2025-09-15 02:30:00",147517,"NAN",0,0,16.41,100,100,1.865792,0,4.247341,1019.578,1019.488,0,0,0,0,20.45,19.67,18.05,"NAN","213IN-SITU AT200 201000",62.72124,19.32896,15631.01,17529.79,10.44459,11.39436,1.006282,0.900036,63.943,292.6092,291.5214,0.3724,0,0.02090667,0,246.1555,272,0.69,0.03,0.4016666,0.51
"2025-09-15 02:45:00",147518,"NAN",0,0,16.34,100,100,1.849716,6.028843E-06,4.214467,1019.829,1019.578,0,0,0,0,20.47,19.67,18.06,"NAN","213IN-SITU AT200 201000",62.43269,19.32861,15629.34,17528.04,10.44345,11.39322,1.006278,0.894958,63.97549,291.5596,291.6693,0.294,0,0.04072444,0,273.7444,304,0.7,0.1,0.4171667,0.54
