"TOA5","GENX","CR1000X","29514","CR1000X.Std.05.01","CPU:GENXv7 modbus.CR1X","56476","RedoxSWAP"
"TIMESTAMP","RECORD","Redox5cm","Redox25cm","Redox45cm","Redox65cm","Temp50cm"
"TS","RN","mv","mv","mv","mv","Celcius"
"","","Smp","Smp","Smp","Smp","Smp"
"2022-06-01 02:00:00",16642,-504.7,-303.5,-579.2,-355.2,22.3
"2022-06-01 02:05:00",16643,-490.8,-292.2,-568.4,-349.2,22.4
"2022-06-01 02:10:00",16644,-508.9,-307,-578.2,-354.9,22.5
"2022-06-01 02:15:00",16645,-483.6,-287.6,-557.4,-341,22.4
"2022-06-01 02:20:00",16646,-508,-311.2,-584.8,-368.2,22.4
"2022-06-01 02:25:00",16647,-484.8,-288.9,-563.1,-344.9,22.4
"2022-06-01 02:30:00",16648,-486.6,-290.4,-560.1,-342.5,22.4
"2022-06-01 02:35:00",16649,-481,-285.5,-553.3,-339.2,22.4
"2022-06-01 02:40:00",16650,-496.1,-306.9,-564.9,-366.8,22.4
"2022-06-01 02:45:00",16651,-485.5,-301.2,-558.7,-360.9,22.4
"2022-06-01 02:50:00",16652,-497.1,-311.5,-565.3,-370,22.3
"2022-06-01 02:55:00",16653,-456.7,-268.7,-522,-329,22.4
"2022-06-01 03:00:00",16654,-490.8,-305.5,-555.3,-367.1,22.4
"2022-06-01 03:05:00",16655,-463.7,-276.9,-524.4,-339,22.3
"2022-06-01 03:10:00",16656,-495.3,-311.4,-558.9,-373.4,22.4
"2022-06-01 03:15:00",16657,-473.9,-293.1,-544.1,-358.7,22.4
"2022-06-01 03:20:00",16658,-492.1,-312.1,-564.8,-379.5,22.4
"2022-06-01 03:25:00",16659,-477.5,-298.5,-547.7,-366.6,22.5
"2022-06-01 03:30:00",16660,-495.5,-317.1,-558.9,-382.3,22.5
"2022-06-01 03:35:00",16661,-465.2,-284.9,-530.6,-348.5,22.3
"2022-06-01 03:40:00",16662,-497.4,-323,-559.8,-388.9,22.3
"2022-06-01 03:45:00",16663,-455.2,-285.9,-521,-354.1,22.4
"2022-06-01 03:50:00",16664,-491.3,-319.1,-555.2,-385.7,22.4
"2022-06-01 03:55:00",16665,-465.7,-292.6,-519.6,-354.2,22.4
"2022-06-01 04:00:00",16666,-482.9,-312.5,-546.7,-383.4,22.5
"2022-06-01 04:05:00",16667,-455.8,-291.8,-526.4,-365.1,22.4
"2022-06-01 04:10:00",16668,-465.3,-298.5,-524.7,-365.1,22.6
"2022-06-01 04:15:00",16669,-463.4,-299.2,-530.7,-368,22.4
"2022-06-01 04:20:00",16670,-465.7,-304.8,-529,-377.1,22.4
"2022-06-01 04:25:00",16671,-454.2,-290.2,-514.9,-358.5,22.4
"2022-06-01 04:30:00",16672,-478.1,-317.9,-539,-386.3,22.4
"2022-06-01 04:35:00",16673,-445,-283.5,-504.8,-347.3,22.4
"2022-06-01 04:40:00",16674,-486.3,-326.2,-542.7,-391.6,22.4
"2022-06-01 04:45:00",16675,-473.4,-313.6,-529.9,-381.8,22.4
"2022-06-01 04:50:00",16676,-488.5,-331.9,-550.5,-402.7,22.4
"2022-06-01 04:55:00",16677,-478.9,-322.1,-538,-393.5,22.5
"2022-06-01 05:00:00",16678,-484.4,-326.2,-535.9,-391.4,22.4
"2022-06-01 05:05:00",16679,-460.4,-305,-517.3,-375,22.4
"2022-06-01 05:10:00",16680,-495.3,-342.3,-551.8,-411.8,22.4
"2022-06-01 05:15:00",16681,-474.1,-323,-526,-383,22.4
"2022-06-01 05:20:00",16682,-476,-329.6,-527.5,-391.1,22.4
"2022-06-01 05:25:00",16683,-477.7,-331,-535.2,-396.3,22.4
"2022-06-01 05:30:00",16684,-504.2,-359.5,-562.3,-425.9,22.4
"2022-06-01 05:35:00",16685,-480.5,-336,-539.3,-391.6,22.6
"2022-06-01 05:40:00",16686,-513.4,-371.3,-580.7,-433.1,22.4
"2022-06-01 05:45:00",16687,-504.6,-365,-574.4,-425.3,22.5
"2022-06-01 05:50:00",16688,-505.4,-365.9,-565,-423.6,22.4
"2022-06-01 05:55:00",16689,-526.6,-399.9,-627.5,-483.6,22.4
"2022-06-01 06:00:00",16690,-544.2,-416.8,-639.9,-493,22.4
"2022-06-01 06:05:00",16691,-511.3,-385.3,-608.2,-458.1,22.4
"2022-06-01 06:10:00",16692,-543.5,-417,-642.6,-494.4,22.4
"2022-06-01 06:15:00",16693,-531.3,-410.1,-628.6,-483.2,22.4
"2022-06-01 06:20:00",16694,-549.8,-426.6,-646.8,-494.5,22.4
"2022-06-01 06:25:00",16695,-537,-411,-638,-478.9,22.4
"2022-06-01 06:30:00",16696,-550.2,-424.7,-649.9,-492.7,22.4
"2022-06-01 06:35:00",16697,-525.5,-402.9,-630.1,-472.4,22.4
"2022-06-01 06:40:00",16698,-533.5,-413.7,-636.4,-475.5,22.4
"2022-06-01 06:45:00",16699,-507.7,-390.6,-613.1,-452.4,22.4
"2022-06-01 06:50:00",16700,-519.9,-401.8,-639.7,-466.2,22.6
"2022-06-01 06:55:00",16701,-487.5,-370,-601.6,-432.8,22.4
"2022-06-01 07:00:00",16702,-490.6,-372.1,-605.7,-429.2,22.4
"2022-06-01 07:05:00",16703,-476.7,-357.6,-591.6,-407.5,22.4
"2022-06-01 07:10:00",16704,-472.5,-351.6,-582.1,-396,22.5
"2022-06-01 07:15:00",16705,-423.1,-301.9,-536.6,-344,22.4
"2022-06-01 07:20:00",16706,-415.6,-303,-530.4,-352.2,22.4
"2022-06-01 07:25:00",16707,-421,-305.7,-542.7,-354.4,22.4
"2022-06-01 07:30:00",16708,-399.3,-281.2,-511.3,-321.4,22.4
"2022-06-01 07:35:00",16709,-370,-249.7,-485.5,-277.1,22.5
"2022-06-01 07:40:00",16710,-416.4,-298.6,-546.6,-346.7,22.4
"2022-06-01 07:45:00",16711,-350.9,-232.3,-476.9,-271.7,22.5
"2022-06-01 07:50:00",16712,-296.5,-177.2,-421.7,-214.3,22.4
"2022-06-01 07:55:00",16713,-289.9,-174.8,-423.3,-201.2,22.4
"2022-06-01 08:00:00",16714,-341,-229.8,-479.9,-265.5,22.5
"2022-06-01 08:05:00",16715,-308.3,-190.4,-438.9,-219.1,22.4
"2022-06-01 08:10:00",16716,-344.7,-218.3,-471.7,-234.5,22.5
"2022-06-01 08:15:00",16717,-308.7,-180,-440.9,-207.5,22.5
"2022-06-01 08:20:00",16718,-259.4,-127.6,-392.6,-160.4,22.4
"2022-06-01 08:25:00",16719,-273.1,-139.8,-406.5,-166.7,22.4
"2022-06-01 08:30:00",16720,-217.7,-86.7,-358.4,-114.7,22.5
"2022-06-01 08:35:00",16721,-97.9,29.1,-247.9,16.2,22.5
"2022-06-01 08:40:00",16722,-129.7,-5,-282.6,-14.5,22.5
"2022-06-01 08:45:00",16723,-95,30.3,-252.2,21.6,22.4
"2022-06-01 08:50:00",16724,-154.2,-24.3,-299.6,-26.3,22.5
"2022-06-01 08:55:00",16725,-102,29.5,-251,27.8,22.6
"2022-06-01 09:00:00",16726,-91.9,40,-242.5,38.9,22.5
"2022-06-01 09:05:00",16727,-88.4,45.3,-239.5,44.9,22.4
"2022-06-01 09:10:00",16728,-110.1,28.6,-260.4,29.5,22.5
"2022-06-01 09:15:00",16729,-104.2,38.1,-251.1,41.4,22.5
"2022-06-01 09:20:00",16730,-82.4,61,-233.9,65,22.4
"2022-06-01 09:25:00",16731,-123.7,21.5,-275.2,25.9,22.5
"2022-06-01 09:30:00",16732,-113.6,36,-263.7,40.5,22.4
"2022-06-01 09:35:00",16733,-152.8,1.3,-303.2,5,22.5
"2022-06-01 09:40:00",16734,-142.5,16.7,-291.7,17.4,22.5
"2022-06-01 09:45:00",16735,-231.7,-67.9,-380,-64.6,22.5
"2022-06-01 09:50:00",16736,-188.3,-22.3,-332.7,-18.6,22.5
"2022-06-01 09:55:00",16737,-214.1,-46,-363.7,-44.9,22.5
"2022-06-01 10:00:00",16738,-195.2,-22.9,-341.9,-20.8,22.5
"2022-06-01 10:05:00",16739,-238.9,-68.9,-394,-75.6,22.5
"2022-06-01 10:10:00",16740,-313.5,-151.1,-473.8,-152.9,22.4
"2022-06-01 10:15:00",16741,-229.6,-76.9,-398.3,-73.1,22.5
"2022-06-01 10:20:00",16742,-305.2,-158.5,-474.4,-149.8,22.5
"2022-06-01 10:25:00",16743,-333.7,-185.3,-494.8,-171.8,22.5
"2022-06-01 10:30:00",16744,-227.2,-75.6,-389,-66,22.5
"2022-06-01 10:35:00",16745,-214.3,-65.3,-376.6,-51.1,22.5
"2022-06-01 10:40:00",16746,-187.4,-32.5,-346.5,-26.4,22.5
"2022-06-01 10:45:00",16747,-264.7,-108.4,-419.5,-96,22.4
"2022-06-01 10:50:00",16748,-270.1,-113.4,-430.4,-105.1,22.4
"2022-06-01 10:55:00",16749,-198.4,-37.6,-359.8,-34,22.5
"2022-06-01 11:00:00",16750,-246.7,-81.3,-401.8,-69.8,22.5
"2022-06-01 11:05:00",16751,-392.5,-222.8,-546.8,-210.9,22.5
"2022-06-01 11:10:00",16752,-377.2,-206.1,-538,-201.2,22.5
"2022-06-01 11:15:00",16753,-537.5,-360.4,-678.2,-345,22.5
"2022-06-01 11:20:00",16754,-397.1,-218.9,-543.7,-210.1,22.5
"2022-06-01 11:25:00",16755,-362.9,-184.8,-513,-178.6,22.5
"2022-06-01 11:30:00",16756,-475.9,-284,-604.1,-268.2,22.5
"2022-06-01 11:35:00",16757,-249.1,-57.5,-389.1,-49.7,22.5
"2022-06-01 11:40:00",16758,-228.1,-30.6,-369.6,-26.4,22.5
"2022-06-01 11:45:00",16759,-265.7,-66.7,-404.6,-58.6,22.5
"2022-06-01 11:50:00",16760,-341.9,-140.6,-481.4,-135,22.5
"2022-06-01 11:55:00",16761,-326.4,-122.5,-464.3,-115.5,22.5
"2022-06-01 12:00:00",16762,-407.7,-200.8,-537.6,-189.2,22.5
"2022-06-01 12:05:00",16763,-315.5,-106.6,-456.8,-102.5,22.5
"2022-06-01 12:10:00",16764,-316.7,-106.9,-453.2,-99.9,22.5
"2022-06-01 12:15:00",16765,-328.6,-116.8,-470.7,-113.9,22.5
"2022-06-01 12:20:00",16766,-360.6,-149.5,-503.9,-147.1,22.5
"2022-06-01 12:25:00",16767,-346.1,-134.9,-482,-126.1,22.5
"2022-06-01 12:30:00",16768,-302.4,-91.9,-448.1,-89.2,22.5
"2022-06-01 12:35:00",16769,-225.3,-13.6,-374.2,-10.8,22.5
"2022-06-01 12:40:00",16770,-326.4,-111.5,-474.7,-108.4,22.5
"2022-06-01 12:45:00",16771,-263.6,-48.3,-412.8,-45,22.5
"2022-06-01 12:50:00",16772,-324,-106.9,-472.7,-104.6,22.5
"2022-06-01 12:55:00",16773,-324.7,-107.2,-471.6,-101.9,22.5
"2022-06-01 13:00:00",16774,-343.1,-124.6,-489.3,-119.7,22.5
"2022-06-01 13:05:00",16775,-332.7,-112.2,-478.9,-111.6,22.5
"2022-06-01 13:10:00",16776,-323.6,-101.4,-464.8,-97.7,22.5
"2022-06-01 13:15:00",16777,-361.5,-138.7,-501.4,-133.4,22.5
"2022-06-01 13:20:00",16778,-395.3,-170,-535.7,-169.3,22.5
"2022-06-01 13:25:00",16779,-428.3,-204.5,-562.4,-195.5,22.5
"2022-06-01 13:30:00",16780,-347.4,-121.9,-488.2,-115.7,22.5
"2022-06-01 13:35:00",16781,-343.1,-117.2,-493.6,-116.9,22.5
"2022-06-01 13:40:00",16782,-386.2,-159.1,-529,-155.9,22.5
"2022-06-01 13:45:00",16783,-354.5,-125.5,-498.3,-119.9,22.5
"2022-06-01 13:50:00",16784,-336.7,-106,-487.1,-101.1,22.5
"2022-06-01 13:55:00",16785,-341.2,-108.2,-488,-103.7,22.5
"2022-06-01 14:00:00",16786,-410.3,-176.5,-553.4,-173.4,22.5
"2022-06-01 14:05:00",16787,-378.8,-144.7,-524.2,-144.2,22.5
"2022-06-01 14:10:00",16788,-375.5,-141.2,-521.1,-141.4,22.5
"2022-06-01 14:15:00",16789,-338.5,-104.7,-484.5,-102.8,22.5
"2022-06-01 14:20:00",16790,-372.8,-138.1,-520.5,-136.4,22.5
"2022-06-01 14:25:00",16791,-388.4,-154.1,-537.2,-156,22.5
"2022-06-01 14:30:00",16792,-370.8,-136,-524.1,-133.1,22.5
"2022-06-01 14:35:00",16793,-304.2,-68.2,-457.6,-67,22.5
"2022-06-01 14:40:00",16794,-311.4,-76.8,-464.2,-74.5,22.5
"2022-06-01 14:45:00",16795,-339.5,-104.7,-489.4,-102,22.5
"2022-06-01 14:50:00",16796,-335.5,-99.2,-490.1,-97.6,22.5
"2022-06-01 14:55:00",16797,-383.1,-148.1,-532.6,-144.7,22.5
"2022-06-01 15:00:00",16798,-379.9,-141.8,-526.8,-139,22.5
"2022-06-01 15:05:00",16799,-353.6,-113.8,-497.1,-108.4,22.5
"2022-06-01 15:10:00",16800,-394.2,-152.4,-538.5,-146.2,22.4
"2022-06-01 15:15:00",16801,-280.3,-36.8,-422.8,-29.2,22.6
"2022-06-01 15:20:00",16802,-329.5,-84.8,-472.4,-81.2,22.5
"2022-06-01 15:25:00",16803,-547,-304.6,-686.3,-301,22.6
"2022-06-01 15:30:00",16804,-351.6,-106.2,-496.1,-104,22.6
"2022-06-01 15:35:00",16805,-289,-42.4,-432.5,-39.6,22.5
"2022-06-01 15:40:00",16806,-378.6,-132.4,-518.5,-126.7,22.5
"2022-06-01 15:45:00",16807,-358.8,-112.5,-506.8,-107.5,22.5
"2022-06-01 15:50:00",16808,-441.3,-193.5,-582,-186.2,22.5
"2022-06-01 15:55:00",16809,-376.6,-129.2,-517.9,-125.6,22.5
"2022-06-01 16:00:00",16810,-447.8,-200.3,-585,-193.6,22.5
"2022-06-01 16:05:00",16811,-345.7,-98.8,-487.9,-96.3,22.6
"2022-06-01 16:10:00",16812,-349.1,-100.4,-491.5,-99.1,22.5
"2022-06-01 16:15:00",16813,-354,-107.6,-497.4,-103.7,22.6
"2022-06-01 16:20:00",16814,-363.7,-116.7,-504.7,-110.2,22.5
"2022-06-01 16:25:00",16815,-450.1,-203.9,-593.4,-197.1,22.6
"2022-06-01 16:30:00",16816,-483.6,-237,-627.3,-229.5,22.5
"2022-06-01 16:35:00",16817,-448.5,-199.1,-585.1,-190.1,22.6
"2022-06-01 16:40:00",16818,-444.3,-195.1,-583.7,-188.2,22.5
"2022-06-01 16:45:00",16819,-484.7,-235.9,-621.9,-231.2,22.6
"2022-06-01 16:50:00",16820,-488.4,-238.2,-626.8,-233,22.6
"2022-06-01 16:55:00",16821,-558.7,-311,-693.7,-301.1,22.6
"2022-06-01 17:00:00",16822,-644.3,-398.2,-781.2,-391.6,22.6
"2022-06-01 17:05:00",16823,-593.6,-346.9,-732.7,-337.5,22.5
"2022-06-01 17:10:00",16824,-584.6,-336.4,-718,-329.1,22.5
"2022-06-01 17:15:00",16825,-581.6,-334,-713.3,-321.5,22.6
"2022-06-01 17:20:00",16826,-602.1,-354.1,-737.6,-344.5,22.6
"2022-06-01 17:25:00",16827,-673.8,-426.2,-805,-413.9,22.5
"2022-06-01 17:30:00",16828,-608.8,-359.3,-737.2,-348.6,22.6
"2022-06-01 17:35:00",16829,-626.6,-376.4,-752.3,-364.4,22.6
"2022-06-01 17:40:00",16830,-628.5,-378.4,-758.3,-369.9,22.6
"2022-06-01 17:45:00",16831,-647.2,-396.4,-778.2,-390.8,22.6
"2022-06-01 17:50:00",16832,-664.2,-412.6,-801,-408.6,22.6
"2022-06-01 17:55:00",16833,-671.4,-419.8,-807,-415.6,22.6
"2022-06-01 18:00:00",16834,-686,-434.9,-810,-423.1,22.6
"2022-06-01 18:05:00",16835,-661.9,-411.7,-783.1,-403.2,22.6
"2022-06-01 18:10:00",16836,-698.3,-448.2,-820,-444.2,22.6
"2022-06-01 18:15:00",16837,-676.9,-426.2,-801,-422.8,22.6
"2022-06-01 18:20:00",16838,-690.9,-440.4,-809,-436.5,22.6
"2022-06-01 18:25:00",16839,-672.9,-423.3,-795.9,-421.4,22.6
"2022-06-01 18:30:00",16840,-701.7,-453.2,-832,-455.8,22.6
"2022-06-01 18:35:00",16841,-676.1,-428.4,-803,-426,22.6
"2022-06-01 18:40:00",16842,-677.2,-429.3,-808,-428.8,22.6
"2022-06-01 18:45:00",16843,-660.9,-413.4,-789.8,-414.7,22.6
"2022-06-01 18:50:00",16844,-687.4,-440.1,-805,-436.2,22.6
"2022-06-01 18:55:00",16845,-658.7,-409.2,-775.8,-402.8,22.6
"2022-06-01 19:00:00",16846,-678.2,-429.9,-799.6,-428.9,22.6
"2022-06-01 19:05:00",16847,-620.5,-368.1,-715.4,-350.1,22.6
"2022-06-01 19:10:00",16848,-646,-393.1,-747.7,-381.5,22.6
"2022-06-01 19:15:00",16849,-637.6,-385.9,-741.7,-377.4,22.6
"2022-06-01 19:20:00",16850,-641.2,-389.8,-730.5,-372.1,22.6
"2022-06-01 19:25:00",16851,-618.2,-367.6,-717.2,-356.1,22.6
"2022-06-01 19:30:00",16852,-639.8,-388.8,-729.6,-374.1,22.6
"2022-06-01 19:35:00",16853,-610.4,-361.6,-698.5,-345.2,22.6
"2022-06-01 19:40:00",16854,-619.7,-371.4,-697.4,-347.3,22.6
"2022-06-01 19:45:00",16855,-533.2,-284.2,-619.2,-265.3,22.6
"2022-06-01 19:50:00",16856,-633.6,-388.4,-727.3,-377.7,22.6
"2022-06-01 19:55:00",16857,-589.3,-343.3,-676,-334.3,22.6
"2022-06-01 20:00:00",16858,-594.9,-348.1,-673.5,-327.4,22.6
"2022-06-01 20:05:00",16859,-595.3,-356.3,-694.1,-349.4,22.6
"2022-06-01 20:10:00",16860,-594.8,-355.6,-678.5,-343.5,22.6
"2022-06-01 20:15:00",16861,-599.1,-359,-679.3,-342.6,22.6
"2022-06-01 20:20:00",16862,-608.6,-368.3,-691.5,-355.6,22.8
"2022-06-01 20:25:00",16863,-589.6,-351.2,-679.1,-340.9,22.7
"2022-06-01 20:30:00",16864,-604.9,-367,-700.2,-361.1,22.6
"2022-06-01 20:35:00",16865,-580,-343.1,-670.2,-333.7,22.6
"2022-06-01 20:40:00",16866,-606.9,-372.9,-696.5,-365.8,22.6
"2022-06-01 20:45:00",16867,-588.2,-355.2,-691,-347.1,22.6
"2022-06-01 20:50:00",16868,-584.9,-348.9,-662,-330,22.6
"2022-06-01 20:55:00",16869,-576.2,-341.2,-667.2,-332.4,22.6
"2022-06-01 21:00:00",16870,-590.5,-358.9,-680.3,-353.6,22.6
"2022-06-01 21:05:00",16871,-564.9,-331.1,-648.6,-317.2,22.6
"2022-06-01 21:10:00",16872,-577.1,-347.9,-662.6,-337.2,22.6
"2022-06-01 21:15:00",16873,-567.4,-339.7,-646.1,-329.8,22.6
"2022-06-01 21:20:00",16874,-581.7,-354.4,-662,-343.6,22.6
"2022-06-01 21:25:00",16875,-575.8,-348.7,-654.6,-339.3,22.6
"2022-06-01 21:30:00",16876,-587.7,-363.3,-673.5,-359.8,22.6
"2022-06-01 21:35:00",16877,-572,-350,-659.5,-345.5,22.6
"2022-06-01 21:40:00",16878,-577.5,-356.6,-651.4,-346,22.6
"2022-06-01 21:45:00",16879,-571,-348.9,-650.6,-339.2,22.6
"2022-06-01 21:50:00",16880,-576.8,-354.8,-652.1,-340.6,22.6
"2022-06-01 21:55:00",16881,-564.2,-345.4,-645.6,-335.6,22.6
