TIMESTAMP,PAR_Den_C_Avg,AirTC_Avg
2026-04-30T23:45:00Z,0.085,8.93
2026-05-01T00:00:00Z,0.131,8.55
2026-05-01T00:15:00Z,0.066,8.73
2026-05-01T00:30:00Z,0.02,8.58
2026-05-01T00:45:00Z,0.007,8.6
2026-05-01T01:00:00Z,0.007,8.4
2026-05-01T01:15:00Z,0.02,8.06
2026-05-01T01:30:00Z,0,7.727
2026-05-01T01:45:00Z,0,7.515
2026-05-01T02:00:00Z,0.02,7.359
2026-05-01T02:15:00Z,0.007,7.176
2026-05-01T02:30:00Z,0.007,7.083
2026-05-01T02:45:00Z,0.026,6.682
2026-05-01T03:00:00Z,0,6.337
2026-05-01T03:15:00Z,0,6.007
2026-05-01T03:30:00Z,0,5.286
2026-05-01T03:45:00Z,0,5.077
2026-05-01T04:00:00Z,0.007,4.711
2026-05-01T04:15:00Z,0,4.645
2026-05-01T04:30:00Z,0,4.471
2026-05-01T04:45:00Z,0.801,4.362
2026-05-01T05:00:00Z,5.997,4.253
2026-05-01T05:15:00Z,26.69,4.09
2026-05-01T05:30:00Z,80.9,4.317
2026-05-01T05:45:00Z,96.1,5.243
2026-05-01T06:00:00Z,124.2,5.765
2026-05-01T06:15:00Z,308.7,5.908
2026-05-01T06:30:00Z,400.3,6.887
2026-05-01T06:45:00Z,494.4,8.02
2026-05-01T07:00:00Z,590.1,9.02
2026-05-01T07:15:00Z,683.6,9.97
2026-05-01T07:30:00Z,775.2,10.72
2026-05-01T07:45:00Z,866,11.23
2026-05-01T08:00:00Z,951,11.84
2026-05-01T08:15:00Z,1034,12.33
2026-05-01T08:30:00Z,1117,12.78
2026-05-01T08:45:00Z,1196,13.37
2026-05-01T09:00:00Z,1273,13.68
2026-05-01T09:15:00Z,1334,13.91
2026-05-01T09:30:00Z,1404,13.69
2026-05-01T09:45:00Z,1459,14.18
2026-05-01T10:00:00Z,1508,14.18
2026-05-01T10:15:00Z,1499,14.28
2026-05-01T10:30:00Z,1563,14.31
2026-05-01T10:45:00Z,1695,14.33
2026-05-01T11:00:00Z,1490,14.41
2026-05-01T11:15:00Z,1376,14.46
2026-05-01T11:30:00Z,1656,14.89
2026-05-01T11:45:00Z,1829,14.9
2026-05-01T12:00:00Z,1485,15.3
2026-05-01T12:15:00Z,1494,15.32
2026-05-01T12:30:00Z,1698,15.47
2026-05-01T12:45:00Z,1692,15.77
2026-05-01T13:00:00Z,1490,15.88
2026-05-01T13:15:00Z,1193,15.69
2026-05-01T13:30:00Z,1324,15.92
2026-05-01T13:45:00Z,1372,16
2026-05-01T14:00:00Z,1512,16.19
2026-05-01T14:15:00Z,1435,16.57
2026-05-01T14:30:00Z,1379,16.56
2026-05-01T14:45:00Z,1296,16.92
2026-05-01T15:00:00Z,1228,17
2026-05-01T15:15:00Z,1153,16.49
2026-05-01T15:30:00Z,1076,16.7
2026-05-01T15:45:00Z,993,16.7
2026-05-01T16:00:00Z,907,16.99
2026-05-01T16:15:00Z,819,16.72
2026-05-01T16:30:00Z,725.9,16.73
2026-05-01T16:45:00Z,631.8,16.49
2026-05-01T17:00:00Z,541.2,16.23
2026-05-01T17:15:00Z,448,16.26
2026-05-01T17:30:00Z,344.6,16.14
2026-05-01T17:45:00Z,98.9,15.72
2026-05-01T18:00:00Z,82.5,15.05
2026-05-01T18:15:00Z,65.18,14.68
2026-05-01T18:30:00Z,42.2,14.24
2026-05-01T18:45:00Z,19.41,13.97
2026-05-01T19:00:00Z,5.344,13.76
2026-05-01T19:15:00Z,0.67,13.8
2026-05-01T19:30:00Z,0.013,13.76
2026-05-01T19:45:00Z,0,13.93
2026-05-01T20:00:00Z,0,14.06
2026-05-01T20:15:00Z,0,14.15
2026-05-01T20:30:00Z,0,14.23
2026-05-01T20:45:00Z,0.007,14.2
2026-05-01T21:00:00Z,0,14
2026-05-01T21:15:00Z,0,13.89
2026-05-01T21:30:00Z,0,13.81
2026-05-01T21:45:00Z,0,13.75
2026-05-01T22:00:00Z,0.007,13.77
2026-05-01T22:15:00Z,0,13.66
2026-05-01T22:30:00Z,0,13.59
2026-05-01T22:45:00Z,0.007,13.51
2026-05-01T23:00:00Z,0,13.36
2026-05-01T23:15:00Z,0,13.13
2026-05-01T23:30:00Z,0,12.67
2026-05-01T23:45:00Z,0,12.01
2026-05-02T00:00:00Z,0,11.02
2026-05-02T00:15:00Z,0.007,10.39
2026-05-02T00:30:00Z,0.007,9.99
2026-05-02T00:45:00Z,0,9.76
2026-05-02T01:00:00Z,0.013,9.58
2026-05-02T01:15:00Z,0.007,9.33
2026-05-02T01:30:00Z,0,9
2026-05-02T01:45:00Z,0,8.79
2026-05-02T02:00:00Z,0,8.59
2026-05-02T02:15:00Z,0.007,8.57
2026-05-02T02:30:00Z,0,8.6
2026-05-02T02:45:00Z,0,8.47
2026-05-02T03:00:00Z,0.007,8.35
2026-05-02T03:15:00Z,0,8.28
2026-05-02T03:30:00Z,0.02,8.21
2026-05-02T03:45:00Z,0.007,8.22
2026-05-02T04:00:00Z,0.039,8.05
2026-05-02T04:15:00Z,0.007,8.16
2026-05-02T04:30:00Z,0.02,8.08
2026-05-02T04:45:00Z,0.302,8.29
2026-05-02T05:00:00Z,3.546,8.46
2026-05-02T05:15:00Z,13.51,8.19
2026-05-02T05:30:00Z,38.2,8.66
2026-05-02T05:45:00Z,70.58,8.75
2026-05-02T06:00:00Z,110.8,8.93
2026-05-02T06:15:00Z,202.2,9.17
2026-05-02T06:30:00Z,219.9,9.44
2026-05-02T06:45:00Z,330.5,9.73
2026-05-02T07:00:00Z,268.4,9.9
2026-05-02T07:15:00Z,292.6,9.86
2026-05-02T07:30:00Z,498.2,10.05
2026-05-02T07:45:00Z,470,10.38
2026-05-02T08:00:00Z,435.6,10.4
2026-05-02T08:15:00Z,520.5,10.46
2026-05-02T08:30:00Z,696.7,10.76
2026-05-02T08:45:00Z,686.8,11.04
2026-05-02T09:00:00Z,805,11.2
2026-05-02T09:15:00Z,836,11.63
2026-05-02T09:30:00Z,973,11.75
2026-05-02T09:45:00Z,910,11.9
2026-05-02T10:00:00Z,772.9,12.3
2026-05-02T10:15:00Z,835,12.48
2026-05-02T10:30:00Z,1079,12.57
2026-05-02T10:45:00Z,1388,13.23
2026-05-02T11:00:00Z,1057,13.44
2026-05-02T11:15:00Z,917,13.36
2026-05-02T11:30:00Z,1234,13.64
2026-05-02T11:45:00Z,1108,13.83
2026-05-02T12:00:00Z,1264,14.1
2026-05-02T12:15:00Z,1069,14.47
2026-05-02T12:30:00Z,1257,14.22
2026-05-02T12:45:00Z,1276,14.23
2026-05-02T13:00:00Z,867,13.54
2026-05-02T13:15:00Z,1538,14.58
2026-05-02T13:30:00Z,1415,14.78
2026-05-02T13:45:00Z,1458,15.01
2026-05-02T14:00:00Z,1312,14.93
2026-05-02T14:15:00Z,724.8,14.31
2026-05-02T14:30:00Z,1295,14.86
2026-05-02T14:45:00Z,1210,15.26
2026-05-02T15:00:00Z,1143,15.45
2026-05-02T15:15:00Z,780.8,15
2026-05-02T15:30:00Z,971,14.83
2026-05-02T15:45:00Z,760.4,15.06
2026-05-02T16:00:00Z,1029,15.67
2026-05-02T16:15:00Z,407.5,15.62
2026-05-02T16:30:00Z,216.9,15.1
2026-05-02T16:45:00Z,270.1,14.9
2026-05-02T17:00:00Z,523.5,15.53
2026-05-02T17:15:00Z,324.5,15.36
2026-05-02T17:30:00Z,164,14.68
2026-05-02T17:45:00Z,135.3,14.22
2026-05-02T18:00:00Z,98.4,14.09
2026-05-02T18:15:00Z,71.02,13.78
2026-05-02T18:30:00Z,41.49,13.49
2026-05-02T18:45:00Z,17.6,13.13
2026-05-02T19:00:00Z,3.486,12.92
2026-05-02T19:15:00Z,0.696,12.62
2026-05-02T19:30:00Z,0.02,12.34
2026-05-02T19:45:00Z,0.007,12.13
2026-05-02T20:00:00Z,0.02,12.01
2026-05-02T20:15:00Z,0.02,11.76
2026-05-02T20:30:00Z,0,11.41
2026-05-02T20:45:00Z,0,11.28
2026-05-02T21:00:00Z,0,10.92
2026-05-02T21:15:00Z,0.013,10.86
2026-05-02T21:30:00Z,0,10.86
2026-05-02T21:45:00Z,0.013,10.89
2026-05-02T22:00:00Z,0.026,10.74
2026-05-02T22:15:00Z,0,10.55
2026-05-02T22:30:00Z,0,10.1
2026-05-02T22:45:00Z,0.013,9.98
2026-05-02T23:00:00Z,0.013,9.7
2026-05-02T23:15:00Z,0,9.32
2026-05-02T23:30:00Z,0.059,9.01
2026-05-02T23:45:00Z,0.02,8.71
2026-05-03T00:00:00Z,0.039,8.5
2026-05-03T00:15:00Z,0.013,8.07
2026-05-03T00:30:00Z,0.013,7.798
2026-05-03T00:45:00Z,0.072,7.437
2026-05-03T01:00:00Z,0.059,6.925
2026-05-03T01:15:00Z,0.046,6.489
2026-05-03T01:30:00Z,0.072,6.438
2026-05-03T01:45:00Z,0.039,6.208
2026-05-03T02:00:00Z,0.072,6.044
2026-05-03T02:15:00Z,0.033,6.062
2026-05-03T02:30:00Z,0.059,5.86
2026-05-03T02:45:00Z,0.033,5.83
2026-05-03T03:00:00Z,0.053,5.94
2026-05-03T03:15:00Z,0.105,5.872
2026-05-03T03:30:00Z,0.131,5.667
2026-05-03T03:45:00Z,0.079,5.588
2026-05-03T04:00:00Z,0.059,5.526
2026-05-03T04:15:00Z,0.059,5.503
2026-05-03T04:30:00Z,0.276,5.264
2026-05-03T04:45:00Z,1.261,5.216
2026-05-03T05:00:00Z,7.738,5.216
2026-05-03T05:15:00Z,28.45,5.141
2026-05-03T05:30:00Z,78,5.448
2026-05-03T05:45:00Z,111.8,5.768
2026-05-03T06:00:00Z,99.2,6.135
2026-05-03T06:15:00Z,312.4,6.551
2026-05-03T06:30:00Z,416.4,6.974
2026-05-03T06:45:00Z,513.1,7.452
2026-05-03T07:00:00Z,608.2,7.812
2026-05-03T07:15:00Z,701.3,8.09
2026-05-03T07:30:00Z,792.4,8.58
2026-05-03T07:45:00Z,887,8.69
2026-05-03T08:00:00Z,975,9.15
2026-05-03T08:15:00Z,1068,9.3
2026-05-03T08:30:00Z,1023,9.65
2026-05-03T08:45:00Z,1175,10.01
2026-05-03T09:00:00Z,1314,10.26
2026-05-03T09:15:00Z,1134,10.62
2026-05-03T09:30:00Z,1369,10.64
2026-05-03T09:45:00Z,1404,11.46
2026-05-03T10:00:00Z,1486,11.58
2026-05-03T10:15:00Z,1586,11.99
2026-05-03T10:30:00Z,1626,12.25
2026-05-03T10:45:00Z,1656,12.41
2026-05-03T11:00:00Z,1687,12.59
2026-05-03T11:15:00Z,1710,13.31
2026-05-03T11:30:00Z,1742,13.82
2026-05-03T11:45:00Z,1736,13.89
2026-05-03T12:00:00Z,1571,13.85
2026-05-03T12:15:00Z,1719,14.08
2026-05-03T12:30:00Z,1756,14.29
2026-05-03T12:45:00Z,1714,14.59
2026-05-03T13:00:00Z,1676,14.67
2026-05-03T13:15:00Z,1692,14.59
2026-05-03T13:30:00Z,1597,15.12
2026-05-03T13:45:00Z,1566,15.23
2026-05-03T14:00:00Z,1510,15.3
2026-05-03T14:15:00Z,1341,15.16
2026-05-03T14:30:00Z,1398,15.55
2026-05-03T14:45:00Z,1155,15.99
2026-05-03T15:00:00Z,1266,16.27
2026-05-03T15:15:00Z,1067,16.24
2026-05-03T15:30:00Z,1021,16.14
2026-05-03T15:45:00Z,1007,16.27
2026-05-03T16:00:00Z,918,16.43
2026-05-03T16:15:00Z,823,16.49
2026-05-03T16:30:00Z,732,16.58
2026-05-03T16:45:00Z,639.3,16.53
2026-05-03T17:00:00Z,548.5,16.45
2026-05-03T17:15:00Z,456.8,16.37
2026-05-03T17:30:00Z,363.5,16.2
2026-05-03T17:45:00Z,107.9,15.67
2026-05-03T18:00:00Z,84.9,15.12
2026-05-03T18:15:00Z,66.94,14.43
2026-05-03T18:30:00Z,45.13,14.04
2026-05-03T18:45:00Z,22.37,13.44
2026-05-03T19:00:00Z,6.086,11.99
2026-05-03T19:15:00Z,0.913,11.46
2026-05-03T19:30:00Z,0.013,10.86
2026-05-03T19:45:00Z,0,9.97
2026-05-03T20:00:00Z,0.026,9.39
2026-05-03T20:15:00Z,0.013,9.02
2026-05-03T20:30:00Z,0.026,8.68
2026-05-03T20:45:00Z,0.033,8.31
2026-05-03T21:00:00Z,0.013,7.637
2026-05-03T21:15:00Z,0.013,7.074
2026-05-03T21:30:00Z,0.026,7.398
2026-05-03T21:45:00Z,0.066,7.219
2026-05-03T22:00:00Z,0,6.614
2026-05-03T22:15:00Z,0.053,6.808
2026-05-03T22:30:00Z,0.039,6.891
2026-05-03T22:45:00Z,0.007,6.945
2026-05-03T23:00:00Z,0.039,7.084
2026-05-03T23:15:00Z,0.007,7.191
2026-05-03T23:30:00Z,0,7.258
2026-05-03T23:45:00Z,0.02,7.54
2026-05-04T00:00:00Z,0.02,7.63
2026-05-04T00:15:00Z,0.007,7.99
2026-05-04T00:30:00Z,0,8.16
2026-05-04T00:45:00Z,0.007,8.3
2026-05-04T01:00:00Z,0.007,8.57
2026-05-04T01:15:00Z,0.013,8.78
2026-05-04T01:30:00Z,0.026,9.01
2026-05-04T01:45:00Z,0.039,9.23
2026-05-04T02:00:00Z,0.039,9.4
2026-05-04T02:15:00Z,0.039,9.49
2026-05-04T02:30:00Z,0,9.82
2026-05-04T02:45:00Z,0,9.68
2026-05-04T03:00:00Z,0,9.94
2026-05-04T03:15:00Z,0,10.04
2026-05-04T03:30:00Z,0,10.38
2026-05-04T03:45:00Z,0.026,10.75
2026-05-04T04:00:00Z,0.007,10.91
2026-05-04T04:15:00Z,0.013,11.05
2026-05-04T04:30:00Z,0.013,11.15
2026-05-04T04:45:00Z,0.768,11
2026-05-04T05:00:00Z,3.999,11.11
2026-05-04T05:15:00Z,12.53,11.12
2026-05-04T05:30:00Z,35.5,11.2
2026-05-04T05:45:00Z,76.31,11.14
2026-05-04T06:00:00Z,105,11.64
2026-05-04T06:15:00Z,298.6,12.12
2026-05-04T06:30:00Z,408.3,12.51
2026-05-04T06:45:00Z,536.6,13
2026-05-04T07:00:00Z,410.4,13.28
2026-05-04T07:15:00Z,708.9,13.77
2026-05-04T07:30:00Z,850,14.54
2026-05-04T07:45:00Z,891,14.95
2026-05-04T08:00:00Z,954,15.2
2026-05-04T08:15:00Z,1042,15.55
2026-05-04T08:30:00Z,1124,15.85
2026-05-04T08:45:00Z,1200,16.78
2026-05-04T09:00:00Z,1272,17.74
